Episode_title	Episode_runtime	Released_on
Bhide Is No Longer The Middleman	19 mins	10 Jan 2020
Auction Day At Gokuldham	16 mins	10 Jan 2020
Popatlal's Withdrawal	18 mins	30 Jun 2020
Goli Misses His Father	20 mins	30 Jun 2020
Komal Worries About Goli	22 mins	30 Jun 2020
Jethalal's Gastric Problem	21 mins	30 Jun 2020
Jethalal And Taarak's Misery	20 mins	30 Jun 2020
Krishnaben Khakhrawala In Gokuldham	21 mins	10 Jan 2020
Jethalal's Suit	21 mins	10 Jan 2020
Daya Takes A Stand	18 mins	10 Jan 2020
It's Not That Easy	18 mins	10 Jan 2020
Gokuldham Struggles With Jethalal	21 mins	10 Jan 2020
A Sorry Solves Everything	20 mins	10 Jan 2020
Tapu Sena Is Confused	20 mins	10 Jan 2020
Magic Show In Gokuldham	21 mins	10 Jan 2020
The Magical Munnalal	21 mins	10 Jan 2020
Tapu Sena Wants To Learn Magic	18 mins	10 Jan 2020
Tapu Sena's New Tricks	19 mins	10 Jan 2020
Madhavi's Money	21 mins	10 Jan 2020
Dr	22 mins	10 Jan 2020
Champaklal Disciplines Jethalal	19 mins	10 Jan 2020
Tapu Bites Bhide's Hand	18 mins	10 Jan 2020
The Society Fund	19 mins	11 Feb 2020
Credit Card	20 mins	11 Feb 2020
Kutkutiya	21 mins	11 Feb 2020
The Bill	16 mins	11 Feb 2020
The Bad People	18 mins	11 Feb 2020
Right On TIme	20 mins	11 Feb 2020
Jethalal Gets A New Helper	19 mins	11 Feb 2020
Lachhuram's Helplessness	17 mins	11 Feb 2020
Jethalal Convinces Everyone	20 mins	11 Feb 2020
The Confusion Of Identity	21 mins	11 Feb 2020
No New Year Party At Gokuldham	17 mins	11 Feb 2020
Men's Secret Party	18 mins	11 Feb 2020
Champaklal Punishes The Men	23 mins	11 Feb 2020
Colour Contractor	17 mins	11 Feb 2020
Painting The Society	19 mins	11 Feb 2020
Sakharam Cancels The Contract	19 mins	11 Feb 2020
Champaklal Steps In	17 mins	11 Feb 2020
Strength In Unity	19 mins	11 Feb 2020
Nattu Kaka Is Back	19 mins	11 Feb 2020
The Satyanarayan Pooja	19 mins	11 Feb 2020
Gokuldham's Musical Night	17 mins	10 Jan 2020
Makar Sakranti	20 mins	21 Jan 2020
Papu Bhai Don	18 mins	21 Jan 2020
Kite Event Gone Wrong	20 mins	21 Jan 2020
Finding A Bride For Popatlal	22 mins	21 Jan 2020
Bagha Returns To Jethalal	20 mins	21 Jan 2020
Bagha's Onion Scheme	21 mins	21 Jan 2020
Bagha's Job Request	19 mins	21 Jan 2020
Tapu Gets A Medal	18 mins	21 Jan 2020
Returning The Medal	20 mins	21 Jan 2020
Why Not Hindustan?	17 mins	21 Jan 2020
Hindustani Society	20 mins	21 Jan 2020
Champak Sena	20 mins	21 Jan 2020
Tapu Misses Champaklal	21 mins	21 Jan 2020
Taarak Is Stressed	17 mins	21 Jan 2020
Tapu's Great Decision	18 mins	21 Jan 2020
A Bald Situation	18 mins	21 Jan 2020
A Bold Step	20 mins	21 Jan 2020
Tapu's Friend	20 mins	21 Jan 2020
The Values Of Life And Friendship	19 mins	21 Jan 2020
Tapu's Prank	20 mins	21 Jan 2020
The Census Operation	20 mins	21 Jan 2020
The Ugly Fight	20 mins	21 Jan 2020
The Story Of Umbrella	20 mins	21 Jan 2020
The Misunderstanding And Missed Call Alerts	17 mins	21 Jan 2020
A Ceremony For World Cup	23 mins	21 Jan 2020
Mr	17 mins	21 Jan 2020
Jethalal Has No Bad Intentions	19 mins	21 Jan 2020
The Missed Call	17 mins	21 Jan 2020
Great Confusion	20 mins	21 Jan 2020
Jethalal And Daya To The Rescue	18 mins	21 Jan 2020
A Day With An Astrologer	20 mins	21 Jan 2020
Popatlal Is Excited For Shivratri	18 mins	21 Jan 2020
Early To Rise	19 mins	21 Jan 2020
Effects Of Bhaang	20 mins	21 Jan 2020
Everyone Looks For Jethalal	20 mins	21 Jan 2020
The Shiv Yatra	19 mins	21 Jan 2020
Everything In Place	19 mins	21 Jan 2020
The Delivery Issue	20 mins	21 Jan 2020
Gokuldham Celebrates Womens Day	19 mins	21 Jan 2020
Daya Goes To The Police Station	20 mins	22 Jan 2020
Biscuit Retrieval	18 mins	22 Jan 2020
Daya's Love	20 mins	22 Jan 2020
Sundar Goes Missing	20 mins	22 Jan 2020
Jethalal Asks Everywhere	19 mins	22 Jan 2020
Sundarlal In A Fraud Case	20 mins	22 Jan 2020
Daya In A Dilemma	18 mins	22 Jan 2020
Tapu And Daya Help Sundar	19 mins	22 Jan 2020
The Peek - A - Boo Game	20 mins	22 Jan 2020
Sundar In Disguise	19 mins	22 Jan 2020
Colours Of Holi	19 mins	22 Jan 2020
A Splash Of Bad Luck	20 mins	22 Jan 2020
Iyer's Promotion	18 mins	22 Jan 2020
Iyer's Transfer	20 mins	22 Jan 2020
Farewell Gift	19 mins	22 Jan 2020
The April Fools Prank	20 mins	22 Jan 2020
Anjali Wins A Competition	19 mins	22 Jan 2020
The Technology Master	18 mins	11 Feb 2020
Bhide Gets An Email	19 mins	22 Jan 2020
The Power of Money	18 mins	11 Feb 2020
Bhide Wants A Loan	19 mins	11 Feb 2020
Bhide And Madhavi's Dream	20 mins	22 Jan 2020
Popatlal Gives A Shock	17 mins	22 Jan 2020
A Bolt From The Blue	20 mins	23 Jan 2020
Gokuldham Comes Out For Help	19 mins	23 Jan 2020
The Unison Of Gokuldham	17 mins	23 Jan 2020
Problem Solved	19 mins	23 Jan 2020
A Celebrity Visits Gokuldham	19 mins	23 Jan 2020
Jethalal In Trouble	20 mins	23 Jan 2020
Misfortune Hits Jethalal	18 mins	23 Jan 2020
Taarak Being A Good Friend To Jetha	19 mins	23 Jan 2020
The Photograph	21 mins	02 Jul 2020
Daya Covers Up	21 mins	23 Jan 2020
Iyer Is Next	21 mins	23 Jan 2020
The Coconut Mishap	21 mins	23 Jan 2020
Tapu Has Good News For Jethalal	21 mins	11 Feb 2020
Tapu Sena Creates A Nuisance	21 mins	11 Feb 2020
Jetha Is Furious With Sodhi	19 mins	11 Feb 2020
Sodhi's Party	20 mins	11 Feb 2020
Roshan Asks Bhide For Help	19 mins	23 Jan 2020
Sodhi Is Unwell	21 mins	23 Jan 2020
Sodhi Needs An Operation	19 mins	23 Jan 2020
Gathering At The Hospital	20 mins	23 Jan 2020
Roshan Reveals The Truth	21 mins	23 Jan 2020
Bhide Wants A Phone	19 mins	23 Jan 2020
The Mango Season	20 mins	23 Jan 2020
Jethalal And Bhide Get Into A Fight	18 mins	23 Jan 2020
Bhide Starts A Business	21 mins	23 Jan 2020
The Mango Stall	20 mins	23 Jan 2020
The Love For Mangoes	21 mins	23 Jan 2020
Mango Business Goes Wrong	21 mins	23 Jan 2020
A Search For Jethalal	19 mins	23 Jan 2020
Bhau Kaka Serves Aam Ras	20 mins	23 Jan 2020
Tapu Sena Wants A Cricket Kit	21 mins	23 Jan 2020
Tapu On A Mission	21 mins	23 Jan 2020
Tapu Sena On A Hunger Strike	19 mins	23 Jan 2020
Sodhi Has A Plan	20 mins	23 Jan 2020
Scheme Fails Miserably	21 mins	23 Jan 2020
Media Covers The News	19 mins	23 Jan 2020
Jethalal's Success	19 mins	23 Jan 2020
Salman Khan Comes To Gokuldham	16 mins	23 Jan 2020
Dancing To Tunes	20 mins	23 Jan 2020
Vacation Plan	19 mins	27 Jan 2020
Sundar Comes Home	21 mins	27 Jan 2020
Gokuldham Gets Ready For Mahotsav	21 mins	27 Jan 2020
Jethalal Is Shocked To Know The Judges	21 mins	27 Jan 2020
Popatlal Deceives The Competitors	21 mins	27 Jan 2020
Tough Competition And Competitors	20 mins	27 Jan 2020
The Arm Wrestlers	22 mins	27 Jan 2020
The Ambiguity Of The Winners	22 mins	27 Jan 2020
Guess Who Is The Winner?	20 mins	27 Jan 2020
Tasks For The Ladies	22 mins	27 Jan 2020
Bagha Maintains The Suspense	21 mins	27 Jan 2020
Bursting The Balloon Competition	20 mins	27 Jan 2020
The Last Task	20 mins	27 Jan 2020
A Special Kid Visits Gokuldham	21 mins	27 Jan 2020
And The Winner Is	20 mins	27 Jan 2020
A Bad Day For Jethalal	18 mins	27 Jan 2020
Sunder Has A Deal For Jethalal	20 mins	27 Jan 2020
Jethalal Gets Stuck In His Godown	19 mins	27 Jan 2020
Daya Is Worried For Jethalal	19 mins	27 Jan 2020
Has Jethalal Been Kidnapped?	19 mins	27 Jan 2020
Jethalal In Jail	18 mins	27 Jan 2020
Will Daya's Plan Work?	20 mins	27 Jan 2020
Jethalal Tries To Hide Himself	19 mins	27 Jan 2020
Jethalal Blames Natu Kaka	21 mins	27 Jan 2020
A Banter Between Popatlal And Bhide	20 mins	27 Jan 2020
Popatlal's Deep Chat With Champaklal	20 mins	27 Jan 2020
Popatlal Organises A Surprise Party	20 mins	27 Jan 2020
Popatlal Catches Bhide Red-Handed	19 mins	27 Jan 2020
Everyone Is Surprised With Popatlal's Surprise	19 mins	27 Jan 2020
The Umbrella's Birthday Celebration	21 mins	27 Jan 2020
The Party Comes To An Abrupt End	21 mins	27 Jan 2020
Popatlal's Umbrella Gets Stolen	18 mins	27 Jan 2020
Everyone Consoles Popatlal	20 mins	27 Jan 2020
Bhide Becomes A Delivery Boy	21 mins	27 Jan 2020
Bhide Scolds Tapu	20 mins	27 Jan 2020
Tapu Sena's Adamant Decision	21 mins	27 Jan 2020
Tapu And Daya's Plan	19 mins	27 Jan 2020
Jethalal's Past Comes To Meet Him	21 mins	27 Jan 2020
Daya Is Asked To Give A Testimony	19 mins	28 Jan 2020
Is Daya In Danger?	18 mins	28 Jan 2020
A Call From The Underworld	19 mins	28 Jan 2020
Jethalal's Disguise	19 mins	28 Jan 2020
Daya Comes To The Rescue	22 mins	28 Jan 2020
Tight Security At Gokuldham	21 mins	28 Jan 2020
Good News For Jethalal	21 mins	28 Jan 2020
Operation Kali Billi	20 mins	28 Jan 2020
The Gang In Gokuldham	22 mins	28 Jan 2020
Sundar Knows The Truth	19 mins	28 Jan 2020
Jethalal's Challenge	20 mins	28 Jan 2020
The Disguised Game	20 mins	28 Jan 2020
The Poisoned Sweets	19 mins	28 Jan 2020
Where Is Daya?	21 mins	28 Jan 2020
Daya Gets Special Treatment	20 mins	28 Jan 2020
A Face - Off	20 mins	28 Jan 2020
A Lesson For The Good	20 mins	28 Jan 2020
Janmashtami Celeberations	20 mins	28 Jan 2020
A Plan To Stop Dr	21 mins	28 Jan 2020
The Unmatched Excitement	19 mins	02 Jul 2020
Dr	FULL_HD119 mins	28 Jan 2020
Babita Visits Jethalal's Shop	19 mins	29 Jan 2020
Need For Improvement	20 mins	29 Jan 2020
Daya Helps Roshan	19 mins	29 Jan 2020
An Abundance Of Food	20 mins	29 Jan 2020
Goli's Anger	18 mins	29 Jan 2020
A Meeting For Ganpati Puja Preparations	21 mins	29 Jan 2020
The Real Identity	20 mins	29 Jan 2020
A Stain On Bhide's Clothes	19 mins	29 Jan 2020
Fancy Dress Competition	20 mins	29 Jan 2020
Entertainment Galore	21 mins	29 Jan 2020
Unique Dressing Styles	21 mins	29 Jan 2020
Gokuldham's Rabindranath Tagore	20 mins	29 Jan 2020
Gajanand's Surprise	21 mins	29 Jan 2020
Where Is The Money?	19 mins	29 Jan 2020
Taarak Is Fed Up With Anjali	20 mins	29 Jan 2020
Baagha Surprises Jethalal	20 mins	29 Jan 2020
Daya's News Upsets Jethalal	19 mins	29 Jan 2020
Will Jethalal Find A Way Out?	21 mins	29 Jan 2020
All's Well That Ends Well	21 mins	29 Jan 2020
A Troublesome Day At The Bhide's	22 mins	29 Jan 2020
A Trip To Pune	20 mins	30 Jan 2020
Bhide's Grave Mistake	21 mins	30 Jan 2020
Jetha's Parcel	20 mins	30 Jan 2020
The Mishap	18 mins	30 Jan 2020
Who Is At Fault?	20 mins	30 Jan 2020
Daya Has A Request	19 mins	30 Jan 2020
A Surprise In Gokuldham	20 mins	30 Jan 2020
Dancing To Falguni's Tunes	17 mins	30 Jan 2020
Tapu Sena Presents A Plan	20 mins	30 Jan 2020
Jethalal's Dream	19 mins	30 Jan 2020
The Worry Continues	19 mins	30 Jan 2020
The Revelation	18 mins	30 Jan 2020
A Lesson Learnt	20 mins	30 Jan 2020
Good News For Daya	20 mins	30 Jan 2020
A Planned Surprise	20 mins	30 Jan 2020
Will The Surprise Be Ruined?	20 mins	30 Jan 2020
A Happy Garba Night	19 mins	30 Jan 2020
Iyer Gets A Call For An Interview	18 mins	30 Jan 2020
Newspapers Are Exchanged	21 mins	30 Jan 2020
Iyer's Excitement	20 mins	30 Jan 2020
A Deal For A New Fridge	19 mins	30 Jan 2020
A Diwali Scheme	20 mins	30 Jan 2020
The Business Affairs	17 mins	30 Jan 2020
Jethalal Gets Deceived By Iyer	20 mins	30 Jan 2020
Bhide's Handy Skills	21 mins	30 Jan 2020
Tapu's Emotional Blackmail	21 mins	30 Jan 2020
Celebrations At Gokuldham	21 mins	30 Jan 2020
Tapu Sena Besiege Bhide To Give A Ride	20 mins	30 Jan 2020
The Lottery Ticket Scam	20 mins	30 Jan 2020
Bhide Gets A Bad Dream	20 mins	03 Feb 2020
Bhide Wins The Lottery	18 mins	03 Feb 2020
Tapu Wants To Star In A Movie	19 mins	03 Feb 2020
Iyer Brings Presents For Everyone	19 mins	03 Feb 2020
Popatlal Takes A Chance	20 mins	03 Feb 2020
Dr	20 mins	03 Feb 2020
Making Amends	20 mins	03 Feb 2020
Popatlal Gets A Shocking News	20 mins	03 Feb 2020
Bhide Bans Tapu Sena From Playing	19 mins	03 Feb 2020
Tapu Sena's Families Take Strict Measures	18 mins	03 Feb 2020
Parents Surprise Tapu Sena	19 mins	03 Feb 2020
Children's Day Celebration	20 mins	03 Feb 2020
Jethalal And Daya's Amazing Performance	17 mins	03 Feb 2020
No Morning Tea	19 mins	03 Feb 2020
Daya Gets Hurt	20 mins	03 Feb 2020
Jethalal Makes A Huge Mistake	19 mins	03 Feb 2020
Jethalal's Misery, Iyer's Delight	19 mins	03 Feb 2020
Jethalal Is Upset	20 mins	03 Feb 2020
Jethalal Files A Complaint	19 mins	03 Feb 2020
Jethalal Follows The Fraud Woman	20 mins	03 Feb 2020
Catching The Culprit	19 mins	11 Feb 2020
Taarak's Got Jetha's Back	18 mins	11 Feb 2020
Reminiscing The Good Old Days	20 mins	11 Feb 2020
An Emergency In Gokuldham Society	20 mins	11 Feb 2020
Gokuldham Society To Be Renovated?	20 mins	11 Feb 2020
Will Jetha Get A Fine?	20 mins	11 Feb 2020
Society Meeting With The Engineer	19 mins	11 Feb 2020
Popatlal Annoys Jethalal	20 mins	11 Feb 2020
Construction In Gokuldham	20 mins	11 Feb 2020
Jethalal Does Not Trust Sundar	20 mins	11 Feb 2020
Superstitions	20 mins	11 Feb 2020
Caught In The Act	19 mins	11 Feb 2020
Renovation Puja	21 mins	11 Feb 2020
The Morning Routine	20 mins	12 Feb 2020
The Revenge	20 mins	12 Feb 2020
Bounty On Champaklal	14 mins	12 Feb 2020
The Trouble Game	20 mins	12 Feb 2020
Will Tapu Sena Help?	19 mins	12 Feb 2020
The Solution	20 mins	12 Feb 2020
Will The Culprit Be Found?	20 mins	12 Feb 2020
Relentless Attempts	19 mins	12 Feb 2020
Where Is Chacha Ji?	18 mins	12 Feb 2020
A Realization	18 mins	12 Feb 2020
Champaklal Comes Home	19 mins	17 Feb 2020
Vicky Apologizes	19 mins	17 Feb 2020
A Happy Day	18 mins	17 Feb 2020
Jethalal's Plan	19 mins	17 Feb 2020
Special Coupons	18 mins	17 Feb 2020
All Set For The Picnic	20 mins	17 Feb 2020
A Fun- Filled Day	20 mins	17 Feb 2020
The Fun Continues	20 mins	17 Feb 2020
Gogi Is Missing	20 mins	17 Feb 2020
Gogi Never Went Anywhere	19 mins	17 Feb 2020
Kite Festival	20 mins	17 Feb 2020
Say Sorry	20 mins	17 Feb 2020
Bhide's Glasses	19 mins	17 Feb 2020
Bhide Shouts At Tapu	17 mins	17 Feb 2020
Bhide's Notice	19 mins	17 Feb 2020
The Real Culprit	19 mins	17 Feb 2020
Jethalal's Trip	18 mins	17 Feb 2020
Sodi's Long Lost Friend	19 mins	30 Jun 2020
Will Goli Get Permission?	20 mins	30 Jun 2020
A Trip To Kutch	20 mins	30 Jun 2020
Rann Of Kutch	20 mins	30 Jun 2020
Safety Pin	19 mins	30 Jun 2020
Investment	19 mins	30 Jun 2020
The Campfire	20 mins	02 Jul 2020
Renovation Begins!	20 mins	02 Jul 2020
The Chilli-Eating Contest	18 mins	02 Jul 2020
A Camel Ride Gone Wrong	20 mins	02 Jul 2020
Jethalal In Pakistan	20 mins	21 Mar 2020
Daya Takes Matter In Her Hands	19 mins	21 Mar 2020
Jethalal Goes To Jail In Pakistan	18 mins	21 Mar 2020
WIll Jetha Return?	19 mins	21 Mar 2020
Chalo Dilli	18 mins	21 Mar 2020
Daya Asks For Help	20 mins	21 Mar 2020
Failed Attempts	20 mins	21 Mar 2020
Good News	20 mins	21 Mar 2020
Jethalal Finally Returns	18 mins	21 Mar 2020
A Feast	19 mins	21 Mar 2020
Sundars Love For Jethalal	20 mins	21 Mar 2020
A Lonesome Popatlal	21 mins	21 Mar 2020
Dr	20 mins	21 Mar 2020
Daya Has A Plan	20 mins	21 Mar 2020
Popatlal Is Determined To Win Hearts	21 mins	21 Mar 2020
Popatlal's Greed	20 mins	21 Mar 2020
Popatlal's Life Decision	20 mins	21 Mar 2020
Surprise Birthday Party	19 mins	21 Mar 2020
Is The Plan Still On?	19 mins	21 Mar 2020
Bagha Is In A Dilemma	20 mins	21 Mar 2020
Baga Keeps A Secret	20 mins	21 Mar 2020
Baga Takes A Decision	19 mins	21 Mar 2020
The Holi Celebration	20 mins	21 Mar 2020
Under Arrest	18 mins	21 Mar 2020
We Are Sorry	20 mins	21 Mar 2020
Taarak Goes To Dr Haathi	20 mins	21 Mar 2020
Bhide Calls Everyone	20 mins	21 Mar 2020
Sundar Shocks Everyone	19 mins	21 Mar 2020
Same Old Sundar	19 mins	21 Mar 2020
Daya On A Mission	19 mins	21 Mar 2020
The Scheme	19 mins	21 Mar 2020
Drunk Sodhi	20 mins	21 Mar 2020
Worried Gokuldham	19 mins	21 Mar 2020
Jethalal Sneaks In	21 mins	21 Mar 2020
Champaklal Calls Special Guests	20 mins	21 Mar 2020
Gokuldham's New Look	20 mins	21 Mar 2020
Sundar Is Doomed	19 mins	21 Mar 2020
Mini India	19 mins	21 Mar 2020
Disco Dance Competition	19 mins	21 Mar 2020
Unconscious Dance Teacher	19 mins	21 Mar 2020
Disco Night	20 mins	23 Mar 2020
Popatlal Tries Negotiating	18 mins	23 Mar 2020
An Unexpected Entry	20 mins	23 Mar 2020
Garba And Disco Together	20 mins	23 Mar 2020
Mix-Matched Costume	18 mins	23 Mar 2020
Face-Off	16 mins	23 Mar 2020
Jethalal Is Upset	19 mins	23 Mar 2020
Daya And Jetha Fight	20 mins	23 Mar 2020
The Mischievous Troop	20 mins	23 Mar 2020
Abdul Is Unhappy	20 mins	23 Mar 2020
A Surprise For Abdul	20 mins	23 Mar 2020
Bhide Comes To Jethalal's House	20 mins	23 Mar 2020
Bagha And Sundar	20 mins	23 Mar 2020
Daya Finds Out The Truth	19 mins	23 Mar 2020
A Big Confusion	19 mins	23 Mar 2020
Sundar Apologises	19 mins	23 Mar 2020
A Bet On Bhides Scooter	20 mins	23 Mar 2020
Popatlal And Champaklal Take A Stand	18 mins	23 Mar 2020
No Backing Out	20 mins	23 Mar 2020
Jethalal's Request To His Father	21 mins	23 Mar 2020
Will The Issue Be Resolved?	20 mins	24 Mar 2020
Is Trouble Awaiting?	21 mins	24 Mar 2020
Concerned Families	20 mins	24 Mar 2020
Is The Strike Called Off?	20 mins	24 Mar 2020
Extending Hands	44 mins	24 Mar 2020
Daya Is Elated	20 mins	24 Mar 2020
Are Frauds Increasing?	19 mins	24 Mar 2020
Is Jethalal In Trouble?	20 mins	24 Mar 2020
Iyer Misplaces A Briefcase	20 mins	24 Mar 2020
The Missing Briefcase	20 mins	12 Dec 2017
The Secret Plan	20 mins	13 Dec 2017
Happy Mother's Day	19 mins	14 Dec 2017
Iyer's Return!	18 mins	15 Dec 2017
Nandini's Farewell Gift	20 mins	16 Dec 2017
The Cash Shortfall	19 mins	17 Dec 2017
Ladies V/S Shopkeeper	19 mins	18 Dec 2017
Anjali Saves The Day!	20 mins	19 Dec 2017
Taarak Distracted, Proceed With Caution!	19 mins	20 Dec 2017
The Diet Food	18 mins	21 Dec 2017
The Bittersweet Love	17 mins	22 Dec 2017
The Tubelight Repair	19 mins	23 Dec 2017
Jethalal In Shock	19 mins	24 Dec 2017
Jethalal's Hormephobia	19 mins	25 Dec 2017
The Absurd Dream	19 mins	26 Dec 2017
The Remedy	20 mins	13 May 2012
Overcoming The Phobia	20 mins	14 May 2012
The Junk	19 mins	15 May 2012
Bhide's Beloved Scooter	19 mins	16 May 2012
Tapu The Entrepreneur	19 mins	16 May 2012
Impressive Tapu	18 mins	17 May 2012
Daya Apologizes	19 mins	18 May 2012
Tapu Sena Goes Missing!	18 mins	19 May 2012
The Scooter Quest	19 mins	20 May 2012
Lost But Found?	18 mins	21 May 2012
Abdul Rides	19 mins	22 May 2012
The Injury	19 mins	23 May 2012
The Cheque Clearing	19 mins	24 May 2012
The Lost Cheque	19 mins	25 May 2012
Stop The Cheque	19 mins	26 May 2012
Hungry Jethalal	19 mins	27 May 2012
The Helicopter Ride	40 mins	29 May 2012
A Heart-Warming Family Reunion	21 mins	30 May 2012
Daya's Bubble Bursts!	19 mins	31 May 2012
The Milk Misery	19 mins	01 Jun 2012
Jethalal, The Patient Zero!	20 mins	03 Jun 2012
The Business Competitor	18 mins	03 Jun 2012
The Bike	19 mins	04 Jun 2012
Bol Bachchan Special!	19 mins	04 Jun 2012
Goguldhams Press Conference	21 mins	24 Mar 2020
Gokuldhams Reporters	18 mins	24 Mar 2020
Ajay Devgn Outwits Everyone!	20 mins	08 Jun 2012
Bhide's Troublesome Mustache	20 mins	08 Jun 2012
The Mustache Problem	19 mins	22 Jan 2013
The Stuck Moustache	19 mins	21 Jan 2012
Jethalal Hurts Champaklal!	20 mins	22 Jan 2013
No Socialising For Jetha	19 mins	22 Jan 2013
The Bribe	19 mins	23 Jan 2013
The Revelation	18 mins	23 Jan 2013
The Meeting	17 mins	24 Jan 2013
Jethalal's Mother	19 mins	24 Jan 2013
The Cat Is Out	18 mins	25 Jan 2013
The Crazy Couple	20 mins	25 Jan 2013
Sunder's Scam	18 mins	26 Jan 2013
Box Of Chocolates	19 mins	26 Jan 2013
Chocolates For Babita!	20 mins	27 Jan 2013
The Rejection	17 mins	27 Jan 2013
Tribute To Rajesh Khanna!	45 mins	28 Jan 2013
All's Well That Ends Well	19 mins	29 Jan 2013
The Rakhi Business	20 mins	29 Jan 2013
The Festival Of Rakhi	17 mins	30 Jan 2013
Gokuldham Celebrates Rakhi	18 mins	30 Jan 2013
Mesmerising Mukti Maa	20 mins	31 Jan 2013
The Dream Girl	20 mins	31 Jan 2013
Popatlal Panics!	20 mins	01 Feb 2013
Superstitious Popatlal	15 mins	01 Feb 2013
Janmashtami Celebrations At Gokuldham	20 mins	03 Feb 2013
